decade,title,artist,lyrics_word_count,unique_content_words,words_in_vocab,racial_name_association,weat_effect_size,ea_pleasant_assoc,aa_pleasant_assoc,words_analyzed,status
1930,Over the Rainbow,Judy Garland,139,52,50,0.009475760042003498,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,find; skies; birds; song; award; wizard; national; heard; bluebirds; blue; star; true; arts; upon; far; dreams; tops; rainbow; endowment; troubles; someday; recording; lemon; dare; america; winning; happy; high; known; fly,ok
1930,In the Mood,Glenn Miller,0,0,0,,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,,no_lyrics
1930,Night and Day,Fred Astaire,169,51,49,0.014698318879315718,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,jungle; inside; life; room; roaring; fall; moon; wall; within; traffic; beat; whether; spend; burning; drip; boom; far; matter; stands; silence; beneath; near; tock; stately; tom; wherever; shower; follows; longing; summer,ok
1930,Cheek to Cheek,Fred Astaire,167,39,38,0.01561343623515442,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,find; gambler; charm; mountain; peak; enjoy; streak; reach; half; heaven; creek; dance; carry; lyrics; together; hung; cares; vanish; dancing; river; seek; beats; heart; hardly; much; climb; seem; love; highest; fishing,ok
1930,Begin the Beguine,Artie Shaw,205,66,63,0.01699335659993939,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,dead; moments; forever; chance; desire; endeavor; promising; swaying; yes; even; music; ember; playing; heaven; orchestra; rapture; sleep; till; curse; clutches; never; mean; play; return; live; whisper; shore; disperse; green; brings,ok
1930,Stormy Weather,Ethel Waters,231,69,62,0.019101198127758626,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,man; club; first; life; chair; still; every; feeling; misery; self; hope; cut; old; legendary; poor; weather; gone; sad; hearted; waters; sky; stormy; standards; enduring; together; since; raining; gloom; american; perform,ok
1930,The Way You Look Tonight,Fred Astaire,155,55,52,0.023148712522231725,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,charm; fred; foolish; keep; tonight; breathless; others; warm; low; please; world; astaire; holiday; glow; cheeks; wrinkles; billie; cold; grows; word; change; smile; tenderness; soft; never; american; arrange; crosby; lovely; tony,ok
1930,Silent Night,Bing Crosby,99,39,37,0.011261562448944,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,afar; silent; morn; calm; sing; alleluia; quake; heaven; sleep; lyrics; smile; christ; bright; savior; yon; born; mmm; virgin; infant; happy; stream; thou; glories; hosts; shepherds; tender; blessed; rejoice; holy; heavenly,ok
1930,A-Tisket A-Tasket,Ella Fitzgerald,222,51,44,0.027757599406551467,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,basket; find; put; send; mommy; someone; seen; yellow; yes; ground; help; blue; red; thank; spied; letter; mine; lyrics; dear; took; avenue; return; wonder; picked; green; girl; gee; bring; lost; joy,ok
1930,All the Things You Are,Tommy Dorsey,78,30,28,0.015680365101242797,0.49117096027773527,-0.0051123915571400814,-0.014091577999140261,lights; evening; dearest; breathless; kiss; song; glow; star; brink; mine; promised; hold; lovely; angel; divine; arms; things; hush; winter; moment; happy; day; makes; lonely; seem; long; springtime; trembles,ok
1940,White Christmas,Bing Crosby,118,22,20,0.02436094927437111,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,snow; children; white; bells; write; sleigh; treetops; glisten; bright; hear; card; used; christmas; merry; dreaming; may; days; listen; ones; every,ok
1940,I'll Never Smile Again,Frank Sinatra,95,18,17,0.022009392175180338,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,fill; eyes; love; good; lyrics; smile; tears; heart; somebody; within; never; thrill; start; new; laugh; romance; realize,ok
1940,Boogie Woogie Bugle Boy,The Andrews Sisters,378,89,84,0.01955266064137719,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,boogie; toot; boy; craft; style; reveille; buck; uncle; understand; busy; famous; nominated; blow; breaks; jumps; unless; wakes; costello; really; sam; every; blowing; man; captain; chicago; next; bugle; lou; plays; brought,ok
1940,Nature Boy,Nat King Cole,134,49,46,0.016614553086520118,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,first; greatest; writer; capitalized; song; name; boy; weeks; sea; cole; king; sad; said; wise; passed; kings; spoke; far; eye; insisted; return; stayed; learn; wandered; top; things; chart; eden; day; land,ok
1940,We'll Meet Again,Vera Lynn,218,40,38,0.019685459113499896,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,til; singing; skies; keep; uncertainty; immensely; sunny; song; trouble; popular; please; singin; lynn; folks; date; blue; far; drive; hello; standard; smiling; voice; happy; dark; times; day; speaks; read; meet; long,ok
1940,If I Didn't Care,The Ink Spots,222,46,43,0.014992660749948464,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,became; still; group; vocal; writer; best; every; song; head; name; true; stands; compare; darlin; words; sure; propelling; heart; copies; begin; care; single; much; end; makes; read; selling; love; jack; little,ok
1940,Chattanooga Choo Choo,Glenn Miller,236,85,83,0.017460157107949764,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,station; tennessee; baltimore; keep; yes; choo; boy; movie; bout; satin; miller; four; board; diner; ham; afford; hear; bend; famous; certain; leave; call; roam; woo; listen; really; version; pardon; face; chattanooga,ok
1940,Swinging on a Star,Bing Crosby,326,81,78,0.01600897561947761,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,best; moonbeams; rather; fat; write; carry; feather; thought; caught; winning; original; eats; jumped; going; meet; manners; kicks; streak; doo; ooo; better; still; face; fool; fish; anything; song; school; dirt; grow,ok
1940,Sentimental Journey,Doris Day,96,38,35,0.011544507932319028,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,takes; decide; waitin; old; wild; home; heaven; aboard; set; lyrics; thought; anticipation; never; renew; afford; ease; track; memories; bag; heart; dime; hear; seven; mile; sentimental; spent; long; leave; roam; railroad,ok
1940,All or Nothing at All,Frank Sinatra,137,37,36,0.016577260871273963,0.08514998447352813,-0.001527900877496899,-0.0032836188739968123,fall; kiss; spell; please; something; half; touch; appealed; rather; undertow; lyrics; smile; never; weak; eyes; yield; caught; close; heart; begin; might; bring; lost; fell; makes; love; dizzy; hand; call; nothing,ok
1950,Rock Around the Clock,Bill Haley & His Comets,269,56,51,0.009176506103246046,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,til; first; put; three; tonight; rock; goin; song; join; cool; strikes; considered; yell; ten; fun; heaven; four; glad; chimes; ring; seventh; start; eleven; nine; max; broad; daylight; band; five; six,ok
1950,Heartbreak Hotel,Elvis Presley,254,56,52,0.02286757658449002,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,tommy; regarding; man; still; find; concerning; room; writer; keep; tears; dwell; heartbreak; hotel; although; hearted; window; leaving; lyrics; since; found; gloom; never; apocryphal; note; clerk; newspaper; dressed; street; supposed; death,ok
1950,Mack the Knife,Bobby Darin,269,100,91,0.012146003621670298,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,bertolt; yes; billows; gloves; boy; ten; mack; miller; scarlet; river; somethin; drama; hear; original; keeps; performed; five; famous; pearly; sunday; drawing; lies; right; sight; eek; mackie; round; hard; song; white,ok
1950,Johnny B. Goode,Chuck Berry,272,83,76,0.017401046344567874,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,boy; considered; stop; cabin; sack; goode; write; carry; learned; stood; maybe; hear; deep; louisiana; lived; around; wood; ever; based; man; engineers; talent; beneath; never; rhythm; band; coming; new; named; big,ok
1950,Hound Dog,Elvis Presley,268,36,32,0.02013017464162982,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,first; rabbit; written; friend; jerry; song; cryin; classed; nothin; said; mine; took; never; version; dog; caught; mike; mama; hound; stoller; high; lie; twelve; big; team; tune; minutes; thornton; writing; time,ok
1950,Tutti Frutti,Little Richard,292,45,39,0.009854891777797374,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,became; crazy; loo; first; best; gave; rock; yes; whoo; boy; bom; seminal; boom; lyrics; richard; lop; almost; knows; record; girl; rise; tutti; sue; bop; read; famous; named; love; hit; roll,ok
1950,The Great Pretender,The Platters,188,32,31,0.021577685076719824,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,conceal; still; clown; alone; feeling; yes; need; grieve; believe; world; laughin; lyrics; crown; real; pretender; adrift; heart; game; shame; much; pretending; wearing; lonely; seem; left; around; played; feel; great; gay,ok
1950,Blueberry Hill,Fats Domino,104,25,24,0.012901735990732596,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,still; melody; moon; lingered; made; true; vows; wind; lyrics; found; stood; never; blueberry; hill; though; love; willow; sweet; came; played; part; apart; dream; thrill,ok
1950,Peggy Sue,Buddy Holly,221,33,32,0.012837099579427726,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,first; without; credited; rare; gal; yes; pretty; song; need; netherlands; holly; peggy; crickets; blue; true; reaching; lyrics; second; canada; top; heart; single; band; sue; read; love; hit; buddy; germany; knew,ok
1950,I Got a Woman,Ray Charles,399,49,45,0.023270597321119753,-0.0997526555348124,-0.0037331398395009205,-0.0016369625198320577,loves; man; money; friend; alone; yes; need; newport; mornin; sometimes; cross; home; woe; said; alright; leaving; morning; streets; early; tenderly; never; knows; treats; lovin; good; saves; across; gives; understand; day,ok
1960,Hey Jude,The Beatles,348,41,40,0.024545692001112254,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,better; colder; refrain; shoulder; wow; someone; fool; judy; made; pain; need; song; cool; hell; world; sad; skin; upon; carry; fucking; found; start; movement; perform; jude; listen; afraid; bad; plays; shoulders,ok
1960,(I Can't Get No) Satisfaction,The Rolling Stones,261,33,33,0.027796266515801867,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,better; man; watching; telling; world; reaction; cigarettes; white; radio; information; try; next; signing; shirts; losing; driving; girl; trying; car; smoke; supposed; maybe; riding; imagination; comes; tells; baby; week; streak; fire,ok
1960,Respect,Aretha Franklin,393,54,49,0.01428109455382907,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,rights; women; find; franklin; money; keep; otis; need; movements; song; bit; sweeter; gon; gone; home; wrong; askin; guess; tryin; means; babe; return; mister; start; lyin; originally; given; respect; whip; anthem,ok
1960,Like a Rolling Stone,Bob Dylan,400,107,101,0.016805960163912156,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,without; language; stare; thought; ring; beware; dime; threw; ride; realize; rags; call; nobody; kicks; cat; around; right; ever; feel; really; steeple; princess; better; shoulder; hard; understood; rolling; meal; invisible; school,ok
1960,Good Vibrations,The Beach Boys,264,40,37,0.020671999677742504,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,clothes; colorful; goes; gentle; keep; giving; world; kind; upon; closer; wind; word; smile; hair; sends; wears; excitations; eyes; plays; lovin; sensation; good; close; sunlight; hear; blossom; air; bop; lifts; somehow,ok
1960,I Heard It Through the Grapevine,Marvin Gaye,386,52,52,0.029185217289735912,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,man; inside; life; someone; tears; instead; believe; son; heard; none; please; plans; half; blue; surprise; told; bout; help; confused; true; said; bet; mine; dear; took; found; mean; guys; hold; lose,ok
1960,(Sittin' On) The Dock of the Bay,Otis Redding,233,59,57,0.010889680420804005,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,still; bay; watching; frisco; alone; tide; wee; otis; evenin; yes; song; dock; bones; even; mornin; home; ten; ships; guess; roamed; thousand; sittin; nothin; change; succeeded; live; record; though; remains; hitting,ok
1960,Bridge Over Troubled Water,Simon & Garfunkel,163,38,38,0.018241845548616097,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,hard; friend; feeling; tears; bridge; evening; pain; falls; silver; need; dry; dreams; found; darkness; sailing; eyes; water; ease; girl; shine; street; mind; lay; troubled; side; times; comes; friends; small; around,ok
1960,Stop! In the Name of Love,The Supremes,334,62,60,0.026786080687884847,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,man; forever; hard; patient; cheating; reminding; alone; telling; seen; instead; worth; song; name; even; run; stop; treating; nights; leaving; secluded; threatening; together; door; knows; twice; tried; appeals; afraid; losing; arms,ok
1960,A Change Is Gonna Come,Sam Cooke,188,42,41,0.010567337655766779,0.2569415503871678,0.0016157366604847598,-0.004569054596140939,tellin; hard; keep; comin; yes; livin; song; cooke; gon; tent; please; help; brother; movie; able; inspirations; knees; sky; carry; change; thought; since; afraid; river; last; winds; born; hang; lor; downtown,ok
1970,Stayin' Alive,The Bee Gees,205,66,52,0.009858650035766522,0.4441268753296065,0.009997846324554811,-0.0007601311689329617,clothes; club; alive; life; solid; money; dividends; compost; need; tab; inches; oakland; throw; bitches; teeth; dinner; till; lyrics; candies; sinking; soft; tesla; bought; okay; treats; tip; girl; weekly; shit; rari,ok
1970,Bohemian Rhapsody,Queen,391,88,85,0.02289706479408431,0.4441268753296065,0.009997846324554811,-0.0007601311689329617,put; beelzebub; tomorrow; low; boy; carry; caught; spit; goodbye; truth; killed; love; shivers; leave; nobody; anyone; right; really; man; matters; face; galileo; poor; mamma; wind; mia; open; landslide; never; eyes,ok
1970,Dreams,Fleetwood Mac,273,49,47,0.0134123646556296,0.4441268753296065,0.009997846324554811,-0.0007601311689329617,women; still; freedom; visions; written; keep; players; heartbeat; carefully; crystal; song; thunder; beat; playing; happens; ness; dreams; sell; stillness; play; wants; rain; turbulent; lindsey; heart; buckingham; remembering; lost; mmm; clean,ok
1970,Stairway to Heaven,Led Zeppelin,343,96,92,0.01958638942379312,0.4441268753296065,0.009997846324554811,-0.0007601311689329617,yes; turns; hedgerow; join; case; lead; word; change; taller; knows; bustle; wonder; gold; sings; voices; last; hear; glitters; meanings; call; alarmed; blow; lies; listen; really; shadows; still; hard; wall; white,ok
1970,Superstition,Stevie Wonder,152,38,38,0.02559413092992623,0.4441268753296065,0.009997846324554811,-0.0007601311689329617,face; suffer; fall; keep; wall; song; believe; month; old; problem; sad; years; bout; looking; glass; save; thirteen; bad; devil; things; good; luck; wash; superstition; hands; understand; seven; ladder; going; past,ok
1970,Hotel California,Eagles,347,114,112,0.021062852490961643,0.4441268753296065,0.009997846324554811,-0.0007601311689329617,lot; device; room; mirrors; kill; tiffany; warm; california; dim; chambers; stop; called; thought; pink; stood; door; heavy; voices; welcome; last; summer; prisoners; hear; programmed; running; leave; feast; sight; benz; ceiling,ok
1970,Imagine,John Lennon,149,40,40,0.014904800097334891,0.4441268753296065,0.009997846324554811,-0.0007601311689329617,man; hard; life; possessions; kill; released; need; join; hell; hope; world; greed; heaven; countries; sky; try; easy; hunger; live; wonder; brotherhood; someday; vietnam; heart; imagine; album; deep; today; read; religion,ok
1970,What's Going On,Marvin Gaye,320,51,49,0.03073024000011823,0.4441268753296065,0.009997846324554811,-0.0007601311689329617,man; find; solid; need; meantime; boy; signs; brother; wrong; doin; far; talk; hair; crying; conquer; loving; father; judge; thinks; dying; brutality; punish; bring; party; happening; picket; everything; everybody; escalate; hate,ok
